"","pid","group","race_ethn","gender","age","geq_1","geq_10","geq_11","geq_12","geq_13","geq_14","geq_15","geq_16","geq_17","geq_18","geq_19","geq_2","geq_20","geq_3","geq_4","geq_5","geq_6","geq_7","geq_8","geq_9","ibqh_1","ibqh_10","ibqh_11","ibqh_12","ibqh_2","ibqh_3","ibqh_4","ibqh_5","ibqh_6","ibqh_7","ibqh_8","ibqh_9","tsc_1","tsc_10","tsc_11","tsc_12","tsc_13","tsc_14","tsc_15","tsc_16","tsc_17","tsc_18","tsc_19","tsc_2","tsc_20","tsc_21","tsc_22","tsc_23","tsc_24","tsc_25","tsc_26","tsc_27","tsc_28","tsc_29","tsc_3","tsc_30","tsc_31","tsc_32","tsc_33","tsc_34","tsc_35","tsc_36","tsc_37","tsc_38","tsc_39","tsc_4","tsc_40","tsc_5","tsc_6","tsc_7","tsc_8","tsc_9"
"56",56,"1","2","1",18,3,1,1,1,3,2,1,1,2,1,1,3,1,3,3,4,2,2,1,2,1,0,0,0,0,0,0,0,0,0.360638475174033,0,0,1,3,0,2,1,2,2,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,1,3,0,0,2,0,0,0
"57",57,"1","2","2",20,4,4,3,2,5,5,4,4,5,2,3,2,3,4,4,4,2,3,4,4,2,1,1,1,2,2,1,2,1,1,1,1,1,2,0,1,0,2,1,0,1,1,1,2,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,1,1
"58",58,"1","6","1",21,3,1,1,1,1,1,1,1,1,1,1,4,1,4,4,3,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,2,0,1,2
"59",59,"1","5","1",22,3,3,3,4,5,5,2,1,3,3,3,2,2,2,4,3,3,4,4,3,2,1,0,1,2,2,1,2,2,2,2,0,2,1,1,2,1,3,3,1,1,2,3,3,1,0,3,0,1,2,2,0,3,0,1,0,1,1,2,2,0,0,0,0,1,2,2,0,2,1,2,0
"60",60,"1","5","1",19,3,1,1,1,2,2,2,3,2,1,1,2,1,2,2,2,1,2,4,2,2,2,1,1,3,3,3,3,3,2,2,2,2,0,0,1,2,3,3,1,0,0,1,3,1,1,2,0,0,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,3,3,3,1
"61",61,"1","6","2",23,4,4,5,5,5,5,3,4,5,1,2,1,2,4,3,4,5,2,3,4,2,2,1,1,2,2,1,2,1,2,2,0,1,2,1,2,1,3,1,0,0,3,3,3,1,0,3,0,2,1,0,0,2,0,0,0,1,1,1,3,0,0,1,1,0,3,1,0,2,2,3,0
"62",62,"1","5","1",18,3,2,2,2,3,3,1,1,2,1,1,3,1,3,3,3,3,3,3,3,2,1,1,1,1,1,0,2,1,1,1,1,2,0,0,2,0,1,1,1,1,0,3,1,1,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,1,0
"63",63,"1","5","2",21,3,3,3,3,3,3,2,2,3,3,3,4,3,4,4,4,3,3,2,3,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"64",64,"1","5","1",22,3,4,4,4,4,3,1,1,2,2,1,3,2,3,3,4,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,1,1,1,1,0,1,0,1,3,0,0,3,0,0,0,2,0,3,0,0,0,0,0,2,1,0,0,0,3,3,2,0,0,2,2,3,3
"65",66,"1","5","1",18,5,5,5,5,5,5,3,3,2,3,5,5,3,5,5,5,5,5,5,5,2,2,1,1,1,1,2,2,2,2,2,1,3,3,0,1,0,1,2,0,1,0,3,3,1,1,3,0,0,0,0,0,2,0,3,0,2,0,1,0,0,0,0,1,0,2,0,3,1,2,3,0
"66",67,"1","5","1",20,3,3,3,2,1,1,1,1,1,1,1,2,1,3,3,2,1,2,1,3,1,1,1,1,1,2,1,2,2,2,1,1,1,2,0,2,0,2,1,0,1,0,1,1,1,1,2,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,2,0,1,1
"67",68,"1","5","3",23,3,5,5,5,4,4,2,1,4,4,4,3,4,4,4,5,4,5,5,4,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,2,3,1,0,2,1,2,0,0,2,2,1,0,2,0,1,2,3,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,3,2,3
"68",69,"1","5","1",20,4,4,4,4,5,5,4,5,3,3,5,4,3,4,4,4,2,3,2,2,2,2,1,2,2,2,3,3,3,2,2,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0
"69",70,"1","5","1",19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"70",71,"1","5","1",18,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0
"71",72,"1","5","1",18,4,3,2,2,2,2,2,2,1,4,4,3,4,4,4,2,2,2,3,2,2,0,0,0,1,0,1,1,1,0,0,0,2,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0
"72",73,"1","6","1",22,4,4,1,3,2,1,1,1,1,1,2,3,2,4,4,5,3,3,3,2,2,2,0,0,2,2,2,3,2,3,3,0,2,1,1,1,1,2,1,0,0,0,2,2,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
"73",74,"1","2","1",19,3,2,2,1,3,2,2,2,2,2,3,2,2,2,3,2,1,1,3,2,2,2,2,2,1,2,2,1,1,1,2,2,3,1,0,2,2,2,2,2,0,1,1,2,2,1,0,0,2,0,0,0,2,0,1,0,1,0,2,2,0,0,2,0,0,1,0,0,2,3,3,1
"74",75,"1","2","1",20,3,1,1,1,2,1,1,1,1,1,2,3,1,3,1,1,2,2,1,2,1,1,1,1,1,2,0,1,1,1,0,0,1,0,0,1,1,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,1,0,0,1,0,0,1,2,0,0
"75",76,"1","5","2",23,1,4,3,2,2,2,1,1,1,1,1,1,1,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,0,1,0,2,1,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1
