pid,group,race_ethn,gender,age,geq,ibqh,tsc
277,1,2,2,21,3.15,19,0
278,1,6,1,18,1.9,10,23
279,1,5,1,19,1.6,8,20
280,1,2,2,19,1.4,2,28
281,1,5,1,18,2.6,28,62
282,1,5,1,18,2.05,18,11
283,1,5,1,20,2.55,22,4
284,1,5,2,18,3,24,40
285,1,5,2,19,3,0,0
286,1,6,1,18,2.85,8,49
287,1,5,2,20,1.2,1,12
288,1,6,1,18,1.9,8,24
289,1,5,1,20,1.35,2,35
290,1,6,1,19,1.4,1,30
291,1,6,1,19,1.7,5,16
292,1,2,2,19,2.75,7,7
293,1,5,1,19,2.5,14,18
294,1,5,2,18,1.35,0,5
295,1,2,2,18,1.25,4,0
296,1,2,1,21,1.45,15,3
297,1,2,2,21,2.35,19,21
298,1,6,1,18,2.75,2,25
299,1,5,1,19,3.2,24,43
300,1,5,1,20,2.45,2,24
301,1,5,2,19,2.3,1,21
302,1,6,2,19,2.35,16,24
303,1,2,2,23,3.1,19,65
304,1,5,2,21,3.85,23,28
305,1,5,2,20,2.9,4,16
306,1,5,1,19,2.1,14,9
307,1,6,3,18,1.7,1,34
308,1,2,2,21,1.5,17,19
309,1,2,2,20,1.3,0,10
310,1,2,2,20,1.4,22,5
311,1,5,2,19,1.1,0,2
312,1,5,1,18,1.85,15,16
313,1,2,1,21,1.85,11,23
314,1,2,1,21,2.1,32,51
315,1,1,1,21,1.9,5,21
316,1,5,1,18,1.55,2,15
317,1,5,1,18,1.5,17,26
318,1,5,1,18,1.2,5,2
319,1,2,1,18,1.55,1,21
320,1,5,1,18,1.95,8,28
321,1,5,1,18,4.55,25,17
322,1,5,1,18,1.1,2,48
323,1,2,2,19,2,12,40
324,1,5,1,20,2.85,26,33
325,1,3,2,21,2.65,17,27
326,1,3,2,18,2.75,21,69
327,1,6,1,19,2.2,2,15
328,1,5,2,18,1.2,1,1
329,1,5,1,18,1.7,4,28
330,1,5,1,19,1.85,8,4.225442614497437
331,1,5,1,19,2.5,18,28
332,1,2,1,20,1,12,0
333,1,5,1,23,2.6,24,39
334,1,2,2,18,2.05,13,8
335,1,5,2,20,1.95,3,50
336,1,5,1,21,2.5,17,8
337,1,5,1,19,2.45,2,15
338,1,2,1,19,2.8,10,17
339,1,5,1,18,3.1,20,41
340,1,6,2,23,1,3,16
341,1,2,1,18,2.15,0,9
342,1,5,1,19,1.95,14,8
